episode,timestep,reward
1,46,48.0
3,92,39.0
5,138,36.0
7,184,36.5
9,230,46.5
11,276,55.5
13,322,40.0
15,368,37.5
17,414,54.5
19,460,35.5
21,506,51.5
23,552,45.0
25,598,47.0
27,644,63.5
29,690,37.5
31,736,37.5
33,782,40.0
35,828,33.0
37,874,37.5
39,920,41.5
41,966,36.0
43,1012,35.5
45,1058,35.5
47,1104,42.5
49,1150,42.5
51,1196,41.5
53,1242,40.5
55,1288,34.0
57,1334,44.0
59,1380,44.0
61,1426,36.5
63,1472,52.0
65,1518,38.0
67,1564,32.5
69,1610,36.5
71,1656,64.0
73,1702,44.0
75,1748,52.0
77,1794,37.5
79,1840,36.5
81,1886,42.5
83,1932,41.0
85,1978,45.0
87,2024,43.0
89,2070,40.5
91,2116,38.0
93,2162,42.0
95,2208,36.0
97,2254,41.5
99,2300,58.0
101,2346,64.0
103,2392,46.0
105,2438,55.0
107,2484,46.5
109,2530,49.0
111,2576,59.5
113,2622,44.0
115,2668,48.5
117,2714,67.5
119,2760,60.0
121,2806,45.5
123,2852,85.0
125,2898,46.5
127,2944,65.0
129,2990,65.0
131,3036,48.0
133,3082,48.5
135,3128,78.0
137,3174,78.0
139,3220,38.5
141,3266,52.0
143,3312,43.5
145,3358,55.0
147,3404,53.0
149,3450,54.0
151,3496,56.0
153,3542,43.0
155,3588,71.5
157,3634,71.5
159,3680,40.5
161,3726,59.5
163,3772,61.0
165,3818,57.5
167,3864,72.5
169,3910,68.0
171,3956,55.0
173,4002,66.5
175,4048,62.0
177,4094,38.5
179,4140,57.5
181,4186,69.5
183,4232,57.5
185,4278,52.0
187,4324,59.0
189,4370,58.5
191,4416,53.5
193,4462,75.0
195,4508,56.0
197,4554,70.5
199,4600,66.5
201,4646,78.5
203,4692,57.5
205,4738,59.5
207,4784,59.5
209,4830,85.0
211,4876,105.0
213,4922,57.0
215,4968,73.5
217,5014,70.5
219,5060,58.0
221,5106,75.0
223,5152,62.5
225,5198,90.0
227,5244,60.0
229,5290,66.0
231,5336,50.5
233,5382,91.0
235,5428,86.5
237,5474,71.0
239,5520,45.0
241,5566,55.0
243,5612,81.5
245,5658,67.0
247,5704,39.0
