episode,timestep,reward
1,46,32.0
3,92,32.5
5,138,57.5
7,184,37.5
9,230,41.0
11,276,21.5
13,322,43.0
15,368,35.0
17,414,34.5
19,460,29.0
21,506,42.5
23,552,44.5
25,598,33.0
27,644,47.0
29,690,22.0
31,736,42.0
33,782,69.5
35,828,35.5
37,874,35.0
39,920,56.5
41,966,40.5
43,1012,35.0
45,1058,42.0
47,1104,35.5
49,1150,60.0
51,1196,22.0
53,1242,32.0
55,1288,32.0
57,1334,39.5
59,1380,22.0
61,1426,45.0
63,1472,21.5
65,1518,35.0
67,1564,42.0
69,1610,54.0
71,1656,38.5
73,1702,34.0
75,1748,38.5
77,1794,44.0
79,1840,33.0
81,1886,25.0
83,1932,28.0
85,1978,29.5
87,2024,25.5
89,2070,35.5
91,2116,38.0
93,2162,38.0
95,2208,52.5
97,2254,40.5
99,2300,32.5
101,2346,29.5
103,2392,36.5
105,2438,31.0
107,2484,40.0
109,2530,27.5
111,2576,67.0
113,2622,37.5
115,2668,46.0
117,2714,50.0
119,2760,40.0
121,2806,43.5
123,2852,36.5
125,2898,38.5
127,2944,25.5
129,2990,39.0
131,3036,33.5
133,3082,23.5
135,3128,47.5
137,3174,54.5
139,3220,58.0
141,3266,64.5
143,3312,35.0
145,3358,48.5
147,3404,51.5
149,3450,28.0
151,3496,36.0
153,3542,22.0
155,3588,44.5
157,3634,35.0
159,3680,37.0
161,3726,36.0
163,3772,39.0
165,3818,58.0
167,3864,32.5
169,3910,51.0
171,3956,29.0
173,4002,59.0
175,4048,40.0
177,4094,40.0
179,4140,37.5
181,4186,31.5
183,4232,44.5
185,4278,60.0
187,4324,40.5
189,4370,47.5
191,4416,52.0
193,4462,60.5
195,4508,39.0
197,4554,48.0
199,4600,37.0
201,4646,37.0
203,4692,35.5
205,4738,58.0
207,4784,54.0
209,4830,60.0
211,4876,45.0
213,4922,46.0
215,4968,64.5
217,5014,33.5
219,5060,25.5
221,5106,72.5
223,5152,43.5
225,5198,24.5
227,5244,61.5
229,5290,54.0
231,5336,34.5
233,5382,49.5
235,5428,38.5
237,5474,36.5
239,5520,34.0
241,5566,29.0
243,5612,33.0
245,5658,69.5
247,5704,49.0
249,5750,51.0
251,5796,42.0
253,5842,52.0
255,5888,67.0
257,5934,33.5
259,5980,41.5
261,6026,32.5
263,6072,52.5
265,6118,44.5
267,6164,31.0
269,6210,42.0
271,6256,47.0
273,6302,41.0
275,6348,44.0
277,6394,58.0
279,6440,19.0
281,6486,20.0
283,6532,39.0
285,6578,53.5
287,6624,34.5
289,6670,38.5
291,6716,45.0
293,6762,59.0
295,6808,58.0
297,6854,55.5
299,6900,72.5
301,6946,62.0
303,6992,72.5
305,7038,40.5
307,7084,34.5
309,7130,46.5
311,7176,78.0
313,7222,47.5
315,7268,58.5
317,7314,47.0
319,7360,42.5
321,7406,37.0
323,7452,56.5
325,7498,41.5
327,7544,48.0
329,7590,60.0
331,7636,61.0
333,7682,44.5
335,7728,53.5
337,7774,86.0
339,7820,36.5
341,7866,47.0
343,7912,36.5
345,7958,56.5
347,8004,43.5
349,8050,53.0
351,8096,49.5
353,8142,46.0
355,8188,57.5
357,8234,47.0
359,8280,46.0
361,8326,53.0
363,8372,52.0
365,8418,61.5
367,8464,75.5
369,8510,60.5
371,8556,53.5
373,8602,77.5
375,8648,50.5
377,8694,88.5
379,8740,48.5
381,8786,41.5
383,8832,84.0
385,8878,57.5
387,8924,49.0
389,8970,60.0
391,9016,73.5
393,9062,37.5
395,9108,51.0
397,9154,49.0
399,9200,68.5
401,9246,55.0
