episode,timestep,reward
1,46,37.0
3,92,36.0
5,138,39.0
7,184,38.0
9,230,42.5
11,276,38.0
13,322,42.0
15,368,55.0
17,414,37.5
19,460,43.5
21,506,42.0
23,552,48.5
25,598,36.0
27,644,36.0
29,690,41.5
31,736,45.0
33,782,38.0
35,828,39.0
37,874,38.0
39,920,38.5
41,966,40.5
43,1012,44.0
45,1058,69.5
47,1104,48.0
49,1150,34.5
51,1196,45.0
53,1242,33.5
55,1288,41.5
57,1334,39.0
59,1380,52.5
61,1426,39.0
63,1472,52.0
65,1518,40.5
67,1564,43.5
69,1610,45.0
71,1656,48.0
73,1702,32.5
75,1748,47.5
77,1794,50.5
79,1840,38.5
81,1886,55.5
83,1932,46.5
85,1978,34.5
87,2024,35.0
89,2070,40.0
91,2116,43.0
93,2162,50.5
95,2208,43.0
97,2254,35.5
99,2300,43.0
101,2346,38.0
103,2392,39.5
105,2438,52.5
107,2484,43.5
109,2530,61.0
111,2576,41.0
113,2622,58.5
115,2668,38.0
117,2714,44.5
119,2760,53.0
121,2806,47.0
123,2852,41.5
125,2898,38.0
127,2944,43.0
129,2990,38.5
131,3036,39.5
133,3082,36.0
135,3128,52.0
137,3174,70.5
139,3220,67.0
141,3266,44.5
143,3312,46.0
145,3358,63.0
147,3404,37.0
149,3450,48.0
151,3496,45.5
153,3542,44.0
155,3588,49.0
157,3634,40.5
159,3680,61.5
161,3726,44.0
163,3772,43.5
165,3818,47.0
167,3864,49.0
169,3910,51.0
171,3956,55.5
173,4002,49.0
175,4048,56.5
177,4094,38.0
179,4140,53.0
181,4186,38.5
183,4232,45.0
185,4278,51.0
187,4324,41.0
189,4370,51.0
191,4416,44.0
193,4462,43.0
195,4508,42.0
197,4554,52.0
199,4600,45.5
201,4646,79.5
203,4692,53.5
205,4738,35.5
207,4784,43.0
209,4830,54.0
211,4876,48.0
213,4922,48.5
215,4968,38.0
217,5014,43.5
219,5060,43.5
221,5106,43.0
223,5152,70.0
225,5198,39.5
227,5244,42.5
229,5290,42.0
231,5336,43.5
233,5382,48.5
235,5428,61.0
237,5474,78.0
239,5520,62.0
241,5566,44.5
243,5612,47.5
245,5658,42.5
247,5704,60.0
249,5750,44.0
251,5796,52.0
253,5842,59.5
255,5888,66.5
257,5934,57.5
259,5980,40.5
261,6026,47.5
263,6072,54.5
265,6118,64.0
267,6164,55.5
269,6210,53.5
271,6256,46.5
273,6302,50.0
275,6348,55.0
277,6394,47.0
279,6440,67.5
281,6486,56.5
283,6532,37.0
285,6578,57.5
287,6624,57.0
289,6670,46.0
291,6716,38.0
293,6762,48.0
295,6808,55.0
297,6854,61.0
299,6900,47.5
301,6946,46.5
303,6992,74.0
305,7038,49.5
307,7084,47.5
309,7130,54.5
311,7176,54.0
313,7222,66.0
315,7268,44.0
317,7314,67.0
319,7360,51.5
321,7406,53.5
323,7452,50.5
325,7498,88.5
327,7544,49.0
329,7590,48.5
331,7636,52.0
333,7682,52.5
335,7728,49.5
337,7774,55.0
339,7820,52.0
341,7866,54.0
343,7912,62.5
345,7958,57.5
347,8004,59.0
349,8050,49.0
351,8096,61.5
353,8142,65.0
355,8188,69.5
357,8234,69.5
359,8280,47.5
361,8326,61.5
363,8372,47.0
365,8418,57.5
367,8464,66.5
369,8510,64.5
371,8556,41.0
373,8602,57.5
375,8648,44.0
377,8694,62.5
379,8740,51.0
381,8786,44.5
383,8832,46.0
385,8878,47.0
387,8924,56.5
389,8970,57.0
391,9016,63.5
393,9062,60.5
395,9108,48.0
397,9154,44.0
399,9200,54.0
401,9246,54.0
403,9292,64.5
405,9338,74.5
407,9384,41.0
409,9430,57.5
411,9476,54.5
413,9522,57.0
415,9568,42.5
417,9614,77.5
419,9660,69.5
421,9706,65.0
423,9752,73.0
425,9798,74.0
427,9844,50.0
429,9890,54.5
431,9936,51.0
433,9982,54.0
435,10028,56.5
437,10074,53.0
439,10120,55.0
441,10166,67.0
443,10212,48.0
445,10258,52.0
447,10304,71.5
449,10350,53.5
451,10396,48.5
453,10442,62.5
455,10488,65.0
457,10534,77.0
459,10580,85.5
461,10626,69.5
463,10672,44.0
465,10718,43.0
467,10764,50.0
469,10810,46.0
471,10856,95.0
473,10902,77.0
475,10948,61.5
477,10994,52.5
479,11040,62.0
481,11086,69.0
483,11132,52.0
485,11178,65.0
487,11224,83.5
489,11270,70.5
491,11316,52.0
493,11362,42.5
495,11408,52.5
497,11454,81.0
499,11500,56.5
501,11546,67.0
503,11592,65.0
505,11638,48.5
507,11684,81.5
509,11730,78.5
511,11776,66.0
513,11822,67.5
515,11868,70.5
517,11914,72.5
519,11960,58.0
521,12006,73.0
523,12052,69.0
525,12098,64.0
527,12144,75.0
529,12190,57.0
531,12236,48.0
533,12282,60.5
535,12328,57.5
537,12374,65.0
539,12420,47.5
541,12466,46.0
543,12512,64.0
545,12558,85.5
547,12604,63.5
549,12650,73.5
551,12696,55.5
553,12742,64.0
555,12788,88.5
557,12834,43.0
559,12880,80.5
561,12926,110.0
563,12972,73.0
565,13018,61.0
567,13064,77.5
569,13110,72.5
571,13156,61.5
573,13202,49.0
575,13248,55.5
577,13294,58.5
579,13340,68.5
581,13386,46.5
583,13432,72.0
585,13478,47.5
587,13524,58.5
589,13570,86.5
591,13616,52.0
593,13662,71.0
595,13708,77.0
597,13754,56.0
599,13800,64.5
601,13846,86.5
603,13892,68.0
605,13938,59.0
607,13984,64.5
609,14030,67.5
611,14076,75.0
613,14122,61.0
615,14168,70.5
617,14214,59.5
619,14260,78.5
621,14306,99.5
623,14352,84.0
625,14398,64.5
627,14444,67.5
629,14490,75.0
631,14536,57.0
633,14582,56.0
635,14628,73.5
637,14674,71.0
639,14720,63.0
641,14766,61.0
643,14812,59.0
645,14858,66.5
647,14904,49.5
649,14950,59.5
651,14996,67.5
653,15042,80.5
655,15088,74.0
657,15134,82.0
659,15180,72.5
661,15226,65.5
663,15272,80.0
665,15318,70.0
667,15364,51.0
669,15410,76.0
671,15456,61.5
673,15502,71.0
675,15548,80.0
677,15594,67.5
679,15640,55.0
681,15686,89.0
683,15732,81.5
685,15778,68.5
687,15824,84.0
689,15870,71.5
691,15916,84.5
693,15962,49.0
695,16008,45.0
697,16054,60.0
699,16100,68.0
701,16146,60.5
703,16192,74.5
705,16238,57.5
707,16284,52.5
709,16330,85.0
711,16376,68.0
713,16422,60.5
715,16468,77.0
717,16514,91.0
719,16560,75.5
721,16606,52.0
723,16652,98.0
725,16698,59.5
727,16744,67.5
729,16790,49.5
731,16836,60.5
733,16882,68.5
735,16928,78.0
737,16974,66.0
739,17020,64.0
741,17066,86.0
743,17112,89.0
745,17158,82.0
747,17204,56.5
749,17250,88.5
751,17296,94.0
753,17342,104.5
755,17388,78.5
757,17434,63.0
759,17480,75.0
761,17526,89.0
763,17572,89.0
765,17618,94.5
767,17664,82.0
769,17710,76.5
771,17756,74.5
773,17802,68.0
775,17848,87.0
777,17894,79.5
779,17940,78.0
781,17986,65.0
783,18032,69.0
785,18078,60.5
787,18124,81.0
789,18170,65.0
791,18216,54.5
793,18262,62.5
795,18308,57.0
797,18354,70.0
799,18400,76.0
801,18446,78.5
803,18492,61.5
805,18538,52.0
807,18584,77.5
809,18630,45.0
811,18676,53.0
813,18722,56.5
815,18768,51.0
817,18814,61.0
819,18860,87.5
821,18906,61.5
823,18952,67.5
825,18998,77.0
827,19044,73.0
829,19090,89.0
831,19136,71.0
833,19182,83.5
835,19228,83.5
837,19274,102.5
839,19320,64.5
841,19366,76.0
843,19412,62.0
845,19458,89.0
847,19504,68.5
849,19550,77.5
851,19596,89.5
853,19642,78.5
855,19688,53.5
857,19734,94.0
859,19780,79.5
861,19826,69.0
863,19872,60.5
865,19918,61.5
867,19964,86.5
869,20010,85.5
871,20056,85.0
873,20102,74.5
875,20148,70.5
877,20194,90.0
879,20240,68.5
881,20286,92.5
883,20332,87.5
885,20378,60.5
887,20424,98.0
889,20470,72.0
891,20516,103.5
893,20562,68.5
895,20608,66.0
897,20654,60.5
899,20700,95.0
901,20746,65.5
903,20792,91.0
905,20838,76.5
907,20884,80.5
909,20930,74.0
911,20976,82.5
913,21022,98.0
915,21068,76.5
917,21114,64.0
919,21160,67.0
921,21206,82.0
923,21252,78.0
925,21298,81.0
927,21344,78.0
929,21390,59.5
931,21436,82.5
933,21482,97.5
935,21528,68.5
937,21574,92.5
939,21620,79.5
941,21666,91.0
943,21712,67.5
945,21758,83.0
947,21804,81.5
949,21850,87.0
951,21896,94.5
953,21942,85.0
955,21988,90.0
957,22034,78.5
959,22080,90.5
961,22126,86.5
963,22172,102.5
965,22218,92.5
967,22264,81.5
969,22310,101.0
971,22356,72.0
973,22402,93.0
975,22448,96.5
977,22494,79.5
979,22540,86.0
981,22586,88.5
983,22632,82.5
985,22678,63.0
987,22724,92.5
989,22770,85.0
991,22816,78.0
993,22862,99.0
995,22908,75.5
997,22954,89.0
999,23000,76.5
1001,23046,89.0
1003,23092,61.5
1005,23138,78.0
1007,23184,102.0
1009,23230,72.0
1011,23276,72.5
1013,23322,76.0
1015,23368,112.5
1017,23414,101.5
1019,23460,84.5
1021,23506,74.0
1023,23552,109.0
1025,23598,86.5
1027,23644,54.5
1029,23690,91.0
1031,23736,103.0
1033,23782,117.5
1035,23828,75.5
1037,23874,93.5
1039,23920,107.5
1041,23966,83.0
1043,24012,78.5
1045,24058,83.0
1047,24104,97.0
1049,24150,85.0
1051,24196,90.5
1053,24242,75.0
1055,24288,83.0
1057,24334,98.0
1059,24380,105.0
1061,24426,87.0
1063,24472,85.0
1065,24518,106.5
1067,24564,80.5
1069,24610,77.5
1071,24656,104.0
1073,24702,97.5
1075,24748,95.5
1077,24794,96.5
1079,24840,98.5
1081,24886,99.0
1083,24932,95.5
1085,24978,95.5
1087,25024,107.0
1089,25070,91.5
1091,25116,86.5
1093,25162,95.5
1095,25208,87.5
1097,25254,108.5
1099,25300,99.5
1101,25346,88.5
1103,25392,82.0
1105,25438,105.0
1107,25484,84.5
1109,25530,105.5
1111,25576,112.0
1113,25622,77.0
1115,25668,87.0
1117,25714,82.5
1119,25760,107.5
1121,25806,77.0
1123,25852,111.0
1125,25898,96.0
1127,25944,99.5
1129,25990,110.0
1131,26036,89.5
1133,26082,95.0
1135,26128,86.0
1137,26174,75.5
1139,26220,96.0
1141,26266,110.0
1143,26312,103.0
1145,26358,110.5
1147,26404,101.0
1149,26450,99.0
1151,26496,101.0
1153,26542,96.5
1155,26588,106.0
1157,26634,88.0
1159,26680,105.5
1161,26726,111.0
1163,26772,103.5
1165,26818,94.5
1167,26864,80.0
1169,26910,96.5
1171,26956,105.0
1173,27002,94.5
1175,27048,103.5
1177,27094,90.5
1179,27140,119.5
1181,27186,102.0
1183,27232,85.5
1185,27278,75.0
1187,27324,97.0
1189,27370,112.0
1191,27416,115.5
1193,27462,95.0
1195,27508,94.5
1197,27554,97.5
1199,27600,121.0
1201,27646,112.0
1203,27692,91.0
1205,27738,55.0
1207,27784,91.0
1209,27830,65.5
1211,27876,94.5
1213,27922,81.5
1215,27968,98.0
1217,28014,117.0
1219,28060,75.5
1221,28106,96.5
1223,28152,90.0
1225,28198,97.0
1227,28244,80.0
1229,28290,54.5
1231,28336,92.5
1233,28382,73.0
1235,28428,87.5
1237,28474,82.5
1239,28520,83.5
1241,28566,96.5
1243,28612,72.0
1245,28658,82.0
1247,28704,108.0
