episode,timestep,reward
1,46,47.0
3,92,56.0
5,138,1.5
7,184,69.0
9,230,39.0
11,276,84.0
13,322,77.0
15,368,57.5
17,414,49.5
19,460,52.5
21,506,47.5
23,552,28.5
25,598,67.5
27,644,47.0
29,690,69.5
31,736,34.5
33,782,50.5
35,828,29.5
37,874,39.0
39,920,50.5
41,966,49.0
43,1012,53.0
45,1058,43.5
47,1104,44.5
49,1150,46.0
51,1196,69.5
53,1242,69.0
55,1288,56.0
57,1334,47.0
59,1380,51.5
61,1426,57.0
63,1472,41.0
65,1518,55.5
67,1564,11.5
69,1610,80.0
71,1656,55.5
73,1702,89.5
75,1748,32.0
77,1794,36.0
79,1840,51.0
81,1886,24.0
83,1932,49.0
85,1978,65.5
87,2024,63.5
89,2070,50.5
91,2116,82.0
93,2162,20.0
95,2208,48.0
97,2254,33.0
99,2300,58.0
101,2346,56.5
103,2392,68.0
105,2438,45.5
107,2484,36.5
109,2530,76.5
111,2576,34.0
113,2622,49.5
115,2668,33.0
117,2714,79.0
119,2760,42.0
121,2806,100.5
123,2852,44.0
125,2898,71.0
127,2944,57.5
129,2990,54.0
131,3036,52.5
133,3082,69.0
135,3128,68.5
137,3174,57.5
139,3220,44.0
141,3266,65.0
143,3312,75.5
145,3358,22.0
147,3404,69.0
149,3450,49.5
151,3496,63.5
153,3542,49.5
155,3588,51.0
157,3634,87.5
159,3680,29.5
161,3726,9.5
163,3772,71.0
165,3818,53.0
167,3864,105.5
169,3910,43.5
171,3956,8.0
173,4002,48.0
175,4048,76.0
177,4094,43.0
179,4140,50.0
181,4186,57.0
183,4232,51.5
185,4278,39.5
187,4324,38.5
189,4370,41.5
191,4416,55.0
193,4462,76.0
195,4508,63.5
197,4554,45.0
199,4600,22.5
201,4646,37.5
203,4692,68.5
205,4738,42.5
207,4784,59.0
209,4830,85.5
211,4876,67.0
213,4922,63.5
215,4968,62.5
217,5014,31.5
219,5060,63.5
221,5106,96.0
223,5152,89.0
225,5198,55.0
227,5244,62.5
229,5290,72.5
231,5336,45.0
233,5382,68.0
235,5428,55.5
237,5474,65.0
