episode,timestep,reward
1,46,119.0
3,92,574.5
5,138,138.5
7,184,127.5
9,230,97.5
11,276,92.0
13,322,100.5
15,368,101.0
17,414,93.0
19,460,261.5
21,506,90.0
23,552,243.5
25,598,74.0
27,644,88.5
29,690,100.5
31,736,115.5
33,782,124.0
35,828,61.0
37,874,265.0
39,920,203.5
41,966,92.5
43,1012,70.0
45,1058,188.0
47,1104,1200.5
49,1150,82.0
51,1196,167.0
53,1242,115.0
55,1288,100.5
57,1334,137.5
59,1380,164.5
61,1426,66.0
63,1472,110.5
65,1518,642.0
67,1564,115.5
69,1610,661.5
71,1656,89.5
73,1702,360.0
75,1748,186.0
77,1794,270.5
79,1840,781.5
81,1886,151.0
83,1932,152.5
85,1978,101.0
87,2024,257.0
89,2070,127.0
91,2116,159.5
93,2162,173.5
95,2208,678.5
97,2254,87.0
99,2300,189.0
101,2346,99.5
103,2392,97.5
105,2438,175.0
107,2484,148.0
109,2530,165.5
111,2576,62.0
113,2622,92.0
115,2668,87.5
117,2714,127.0
119,2760,104.5
121,2806,183.5
123,2852,640.5
125,2898,667.0
127,2944,162.0
129,2990,105.5
131,3036,231.5
133,3082,264.5
135,3128,215.5
137,3174,178.5
139,3220,115.5
141,3266,449.0
143,3312,98.0
145,3358,128.5
147,3404,653.0
149,3450,293.5
151,3496,150.5
153,3542,126.0
155,3588,95.0
157,3634,252.0
159,3680,97.0
161,3726,159.0
163,3772,825.0
165,3818,94.5
167,3864,107.5
169,3910,1009.5
171,3956,210.0
173,4002,275.5
175,4048,87.0
177,4094,124.0
179,4140,218.0
181,4186,92.0
183,4232,101.5
185,4278,173.5
187,4324,768.5
189,4370,269.5
191,4416,141.5
193,4462,110.5
195,4508,463.5
197,4554,255.0
199,4600,841.0
201,4646,106.0
203,4692,175.5
205,4738,327.5
207,4784,170.5
209,4830,723.5
211,4876,133.0
213,4922,182.5
215,4968,100.5
217,5014,128.5
219,5060,190.5
221,5106,52.5
223,5152,185.0
225,5198,168.0
227,5244,69.5
229,5290,306.5
231,5336,81.5
233,5382,374.5
235,5428,266.0
237,5474,305.5
239,5520,304.0
241,5566,225.5
243,5612,108.5
245,5658,697.0
247,5704,692.0
249,5750,141.5
251,5796,259.0
253,5842,214.0
255,5888,163.5
257,5934,327.5
259,5980,98.5
261,6026,580.0
263,6072,225.5
265,6118,134.5
267,6164,725.5
269,6210,126.5
271,6256,212.0
273,6302,169.5
275,6348,302.0
277,6394,151.0
279,6440,117.5
281,6486,170.0
283,6532,240.0
285,6578,145.5
287,6624,173.0
289,6670,132.0
291,6716,767.0
293,6762,151.0
295,6808,103.0
297,6854,166.0
299,6900,725.5
301,6946,165.5
303,6992,309.5
305,7038,326.5
307,7084,1422.5
309,7130,690.0
311,7176,168.5
313,7222,299.0
315,7268,176.5
317,7314,729.0
319,7360,278.5
321,7406,328.5
323,7452,209.0
325,7498,621.5
327,7544,737.5
329,7590,771.5
331,7636,105.0
333,7682,612.0
335,7728,93.5
337,7774,115.0
339,7820,743.0
341,7866,111.5
343,7912,118.0
345,7958,754.0
347,8004,143.5
349,8050,117.5
351,8096,283.0
353,8142,248.0
355,8188,820.5
357,8234,224.0
359,8280,149.0
361,8326,164.5
363,8372,84.5
365,8418,270.0
367,8464,660.0
369,8510,136.0
371,8556,169.0
373,8602,255.5
375,8648,144.5
377,8694,808.5
379,8740,285.0
381,8786,198.0
383,8832,749.5
385,8878,94.5
387,8924,139.0
389,8970,194.0
391,9016,586.5
393,9062,758.5
395,9108,366.5
397,9154,174.0
399,9200,250.5
401,9246,131.5
403,9292,188.5
405,9338,280.0
407,9384,148.5
409,9430,210.5
411,9476,218.5
413,9522,371.5
415,9568,167.5
417,9614,249.5
419,9660,89.0
421,9706,274.5
423,9752,149.5
425,9798,777.5
427,9844,1296.0
429,9890,203.5
431,9936,732.0
433,9982,799.0
435,10028,272.0
437,10074,88.0
439,10120,897.0
441,10166,740.5
443,10212,147.5
445,10258,228.0
447,10304,643.5
449,10350,270.5
451,10396,155.5
453,10442,211.0
455,10488,108.0
457,10534,176.5
459,10580,669.5
461,10626,282.5
463,10672,181.0
