episode,timestep,reward
1,60,-5.9575
3,120,-5.3143
5,180,26.1402
7,240,-6.4116
9,300,56.0447
11,360,-3.8092
13,420,86.0132
15,480,-4.273
17,540,144.9643
19,600,25.7809
21,660,-4.5733
23,720,55.2243
25,780,24.3415
27,840,85.539
29,900,115.1749
31,960,144.956
33,1020,175.7548
35,1080,175.6318
37,1140,265.8207
39,1200,234.428
41,1260,56.1657
43,1320,86.3388
45,1380,174.5947
47,1440,25.4413
49,1500,236.0089
51,1560,144.7369
53,1620,114.6438
55,1680,235.8734
57,1740,25.9427
59,1800,115.2407
61,1860,116.6861
63,1920,175.0116
65,1980,325.8324
67,2040,85.1163
69,2100,325.9627
71,2160,237.2089
73,2220,175.141
75,2280,204.7766
77,2340,115.2621
79,2400,176.2435
81,2460,204.6097
83,2520,205.3687
85,2580,385.0964
87,2640,476.4134
89,2700,265.8749
91,2760,205.5703
93,2820,295.9705
95,2880,356.024
97,2940,386.9984
99,3000,295.5933
