episode,timestep,reward
1,46,59.0
3,92,47.5
5,138,41.5
7,184,40.0
9,230,36.5
11,276,38.5
13,322,41.5
15,368,39.0
17,414,35.0
19,460,48.5
21,506,44.0
23,552,34.0
25,598,37.0
27,644,36.5
29,690,33.0
31,736,42.0
33,782,50.0
35,828,43.5
37,874,51.5
39,920,31.0
41,966,49.5
43,1012,61.5
45,1058,65.5
47,1104,36.5
49,1150,46.0
51,1196,43.0
53,1242,55.5
55,1288,46.5
57,1334,40.0
59,1380,41.0
61,1426,42.5
63,1472,40.5
65,1518,36.5
67,1564,56.5
69,1610,38.0
71,1656,51.5
73,1702,60.0
75,1748,38.0
77,1794,46.0
79,1840,42.5
81,1886,40.5
83,1932,43.0
85,1978,37.5
87,2024,40.5
89,2070,34.5
91,2116,35.5
93,2162,47.5
95,2208,55.0
97,2254,40.5
99,2300,37.5
101,2346,57.5
103,2392,53.5
105,2438,62.0
107,2484,51.5
109,2530,59.0
111,2576,51.0
113,2622,55.0
115,2668,50.5
117,2714,42.0
119,2760,46.0
121,2806,40.5
123,2852,39.5
125,2898,64.5
127,2944,38.0
129,2990,42.5
131,3036,53.0
133,3082,56.5
135,3128,60.0
137,3174,39.5
139,3220,40.5
141,3266,35.0
143,3312,57.5
145,3358,55.0
147,3404,74.5
149,3450,49.0
151,3496,55.0
153,3542,40.0
155,3588,48.0
157,3634,76.0
159,3680,63.5
161,3726,41.5
163,3772,59.5
165,3818,39.0
167,3864,64.5
169,3910,67.0
171,3956,43.0
173,4002,36.0
175,4048,46.0
177,4094,46.5
179,4140,41.0
181,4186,54.5
183,4232,72.5
185,4278,46.0
187,4324,41.0
189,4370,59.5
191,4416,58.5
193,4462,57.0
195,4508,72.0
197,4554,47.0
199,4600,62.5
201,4646,44.0
203,4692,53.5
205,4738,70.0
207,4784,46.5
209,4830,53.0
211,4876,57.5
213,4922,47.0
215,4968,62.0
217,5014,42.0
219,5060,37.0
221,5106,66.0
223,5152,47.0
225,5198,50.5
227,5244,51.5
229,5290,41.5
231,5336,52.5
233,5382,70.5
235,5428,47.5
237,5474,66.0
239,5520,58.5
241,5566,51.5
243,5612,49.5
245,5658,55.0
247,5704,55.5
249,5750,40.5
251,5796,54.0
253,5842,67.5
255,5888,68.0
257,5934,53.5
259,5980,58.5
261,6026,56.5
263,6072,63.0
265,6118,68.5
267,6164,70.5
269,6210,64.5
271,6256,60.5
273,6302,79.5
275,6348,47.5
277,6394,42.5
279,6440,74.5
281,6486,75.0
283,6532,56.5
285,6578,65.0
287,6624,60.5
289,6670,56.0
291,6716,46.0
293,6762,81.5
295,6808,55.5
297,6854,57.5
299,6900,55.5
301,6946,47.0
303,6992,77.0
305,7038,84.5
307,7084,42.5
309,7130,64.0
311,7176,68.0
313,7222,63.5
315,7268,82.0
317,7314,75.0
319,7360,65.5
321,7406,53.0
323,7452,56.5
325,7498,44.5
327,7544,75.5
329,7590,54.0
331,7636,48.5
333,7682,37.5
335,7728,82.5
337,7774,56.0
339,7820,47.5
341,7866,57.0
343,7912,68.0
345,7958,51.5
347,8004,70.5
349,8050,77.0
351,8096,65.5
353,8142,46.5
355,8188,58.5
357,8234,63.5
359,8280,52.0
361,8326,91.5
363,8372,50.0
365,8418,71.0
367,8464,71.5
369,8510,65.5
371,8556,69.0
373,8602,55.0
375,8648,60.0
377,8694,51.5
379,8740,51.5
381,8786,53.5
383,8832,44.5
385,8878,67.0
387,8924,55.0
389,8970,51.5
391,9016,58.0
393,9062,64.0
395,9108,49.0
397,9154,68.0
399,9200,63.0
401,9246,76.5
403,9292,72.0
405,9338,59.5
407,9384,73.0
409,9430,83.5
411,9476,70.0
413,9522,60.5
415,9568,63.5
417,9614,80.0
419,9660,48.5
421,9706,66.0
423,9752,73.0
425,9798,55.5
427,9844,53.0
429,9890,60.5
431,9936,79.0
433,9982,57.5
435,10028,61.0
437,10074,83.5
439,10120,64.0
441,10166,79.0
443,10212,55.0
445,10258,46.0
447,10304,51.5
449,10350,74.5
451,10396,65.5
453,10442,68.0
455,10488,73.0
457,10534,67.5
459,10580,61.5
461,10626,72.5
463,10672,87.5
465,10718,106.0
467,10764,75.5
469,10810,79.0
471,10856,77.5
473,10902,68.0
475,10948,81.5
477,10994,77.5
479,11040,57.5
481,11086,63.0
483,11132,71.5
485,11178,64.0
487,11224,73.0
489,11270,62.5
491,11316,46.0
493,11362,61.5
495,11408,73.5
497,11454,60.0
499,11500,48.0
501,11546,52.5
503,11592,71.5
505,11638,90.5
507,11684,74.0
509,11730,64.0
511,11776,76.5
513,11822,57.0
515,11868,69.5
517,11914,49.5
519,11960,61.5
521,12006,71.0
523,12052,72.5
525,12098,69.0
527,12144,80.0
529,12190,79.5
531,12236,68.5
533,12282,79.0
535,12328,95.5
537,12374,78.5
539,12420,78.0
541,12466,53.5
543,12512,78.0
545,12558,80.5
547,12604,48.0
549,12650,85.5
551,12696,74.5
553,12742,70.0
555,12788,75.0
557,12834,58.0
559,12880,70.0
561,12926,76.5
563,12972,68.0
565,13018,66.5
567,13064,50.0
569,13110,67.5
571,13156,75.5
573,13202,48.0
575,13248,64.0
577,13294,47.0
579,13340,75.5
581,13386,87.0
583,13432,75.5
585,13478,49.5
587,13524,68.0
589,13570,60.5
591,13616,76.0
593,13662,73.5
595,13708,64.0
597,13754,77.0
599,13800,49.5
601,13846,65.5
603,13892,68.5
605,13938,63.0
607,13984,69.5
609,14030,69.5
611,14076,66.0
613,14122,70.5
615,14168,63.0
617,14214,76.5
619,14260,64.5
621,14306,74.5
623,14352,81.0
625,14398,92.0
627,14444,77.5
629,14490,79.0
631,14536,66.5
633,14582,57.5
635,14628,60.5
637,14674,70.5
639,14720,95.0
641,14766,65.0
643,14812,85.5
645,14858,81.0
647,14904,96.0
649,14950,86.0
651,14996,91.0
653,15042,78.0
655,15088,81.0
657,15134,92.0
659,15180,73.0
661,15226,89.5
663,15272,59.5
665,15318,68.5
667,15364,75.5
669,15410,79.5
671,15456,86.0
673,15502,97.0
675,15548,68.5
677,15594,78.0
679,15640,66.5
681,15686,75.5
683,15732,96.5
685,15778,68.0
687,15824,78.0
689,15870,83.0
691,15916,79.0
693,15962,96.5
695,16008,83.0
697,16054,80.0
699,16100,68.0
701,16146,94.0
703,16192,94.0
705,16238,70.0
707,16284,93.0
709,16330,70.0
711,16376,101.5
713,16422,87.0
