episode,timestep,reward
1,46,74.0
3,92,61.5
5,138,65.0
7,184,65.5
9,230,63.5
11,276,61.5
13,322,63.0
15,368,58.0
17,414,54.0
19,460,71.5
21,506,59.5
23,552,63.0
25,598,53.5
27,644,54.0
29,690,59.5
31,736,65.5
33,782,66.0
35,828,70.0
37,874,69.0
39,920,57.0
41,966,66.5
43,1012,58.5
45,1058,72.5
47,1104,80.0
49,1150,63.0
51,1196,59.5
53,1242,62.0
55,1288,70.0
57,1334,69.5
59,1380,69.5
61,1426,71.0
63,1472,66.0
65,1518,79.0
67,1564,61.0
69,1610,73.5
71,1656,65.0
73,1702,64.0
75,1748,62.5
77,1794,64.5
79,1840,64.0
81,1886,77.0
83,1932,61.5
85,1978,71.0
87,2024,83.5
89,2070,68.5
91,2116,83.5
93,2162,83.5
95,2208,75.5
97,2254,58.5
99,2300,61.5
101,2346,64.5
103,2392,62.0
105,2438,56.5
107,2484,60.0
109,2530,66.5
111,2576,70.5
113,2622,60.0
115,2668,70.0
117,2714,63.5
119,2760,69.0
121,2806,69.5
123,2852,82.0
125,2898,82.0
127,2944,67.0
129,2990,69.5
131,3036,72.0
133,3082,64.5
135,3128,72.5
137,3174,68.0
139,3220,92.0
141,3266,66.0
143,3312,71.0
145,3358,82.5
147,3404,72.5
149,3450,69.5
151,3496,61.5
153,3542,85.0
155,3588,69.5
157,3634,75.5
159,3680,76.5
161,3726,92.0
163,3772,67.5
165,3818,64.0
167,3864,80.0
169,3910,72.0
171,3956,63.0
173,4002,60.0
175,4048,68.0
177,4094,81.0
179,4140,70.5
181,4186,69.5
183,4232,84.0
185,4278,88.5
187,4324,86.0
189,4370,83.0
191,4416,68.0
193,4462,81.0
195,4508,63.0
197,4554,70.0
199,4600,67.0
201,4646,87.0
203,4692,64.5
205,4738,75.0
207,4784,89.5
209,4830,81.5
211,4876,70.0
213,4922,92.0
215,4968,66.5
217,5014,98.0
219,5060,76.0
221,5106,74.5
223,5152,65.0
225,5198,91.5
227,5244,75.0
229,5290,75.5
231,5336,73.0
233,5382,92.5
235,5428,72.5
237,5474,62.5
239,5520,87.5
241,5566,101.5
243,5612,99.5
245,5658,79.0
247,5704,73.5
249,5750,78.5
251,5796,75.5
253,5842,84.0
255,5888,80.0
257,5934,108.5
259,5980,76.5
261,6026,68.0
263,6072,93.0
265,6118,75.0
267,6164,80.5
269,6210,63.5
271,6256,70.0
273,6302,81.0
275,6348,84.0
277,6394,72.0
279,6440,92.0
281,6486,78.0
283,6532,75.5
285,6578,82.5
287,6624,64.5
289,6670,100.0
291,6716,79.5
293,6762,109.5
295,6808,81.5
297,6854,70.0
299,6900,80.0
301,6946,73.0
303,6992,85.5
305,7038,74.0
307,7084,104.0
309,7130,97.0
311,7176,76.0
313,7222,99.5
315,7268,91.0
317,7314,92.5
319,7360,80.0
321,7406,105.5
323,7452,91.0
325,7498,91.0
327,7544,105.5
329,7590,89.0
331,7636,87.0
333,7682,86.0
335,7728,112.5
337,7774,88.0
339,7820,100.0
341,7866,100.5
343,7912,66.0
345,7958,106.0
347,8004,69.0
349,8050,84.5
351,8096,80.0
353,8142,82.5
355,8188,81.5
357,8234,100.0
359,8280,107.0
361,8326,95.0
363,8372,101.5
365,8418,82.5
367,8464,90.5
369,8510,68.0
371,8556,100.0
373,8602,75.5
375,8648,97.0
377,8694,87.5
379,8740,75.0
381,8786,71.5
383,8832,83.0
385,8878,100.0
387,8924,100.5
389,8970,83.0
391,9016,104.0
393,9062,85.0
395,9108,96.5
397,9154,97.0
399,9200,91.0
401,9246,70.5
403,9292,104.0
405,9338,82.5
407,9384,78.5
409,9430,92.5
411,9476,112.5
413,9522,98.5
415,9568,89.0
417,9614,62.5
419,9660,99.5
421,9706,112.5
423,9752,76.0
425,9798,70.5
427,9844,90.5
429,9890,115.0
431,9936,81.5
433,9982,102.0
435,10028,103.5
437,10074,98.0
439,10120,108.0
441,10166,103.0
443,10212,105.0
445,10258,99.0
447,10304,106.5
449,10350,99.5
451,10396,120.0
453,10442,100.5
455,10488,100.5
457,10534,99.0
459,10580,109.5
461,10626,104.5
463,10672,98.0
465,10718,101.5
467,10764,101.0
469,10810,99.5
471,10856,109.5
473,10902,72.0
475,10948,115.0
477,10994,106.0
479,11040,83.0
481,11086,110.5
483,11132,96.0
485,11178,84.0
487,11224,98.5
489,11270,101.5
491,11316,107.5
493,11362,112.5
495,11408,105.5
497,11454,89.5
499,11500,85.5
501,11546,85.5
503,11592,90.5
505,11638,104.5
507,11684,114.0
509,11730,98.0
511,11776,95.5
513,11822,108.0
515,11868,112.5
