episode,timestep,reward
1,46,-5247.0
3,92,-3525.0
5,138,-4225.0
7,184,-3786.5
9,230,-3974.5
11,276,-4181.5
13,322,-3589.5
15,368,-3674.0
17,414,-3762.0
19,460,-3474.5
21,506,-3379.5
23,552,-4013.0
25,598,-3524.0
27,644,-3947.0
29,690,-4208.0
31,736,-3948.0
33,782,-4183.0
35,828,-3952.0
37,874,-4140.0
39,920,-4201.5
41,966,-3902.0
43,1012,-4124.0
45,1058,-3909.5
47,1104,-3087.0
49,1150,-3765.0
51,1196,-3222.5
53,1242,-3509.5
55,1288,-3564.0
57,1334,-4080.0
59,1380,-3598.0
61,1426,-3903.5
63,1472,-3441.5
65,1518,-3231.0
67,1564,-3511.0
69,1610,-4021.5
71,1656,-3489.5
73,1702,-3797.0
75,1748,-3994.5
77,1794,-3621.5
79,1840,-3360.0
81,1886,-4133.5
83,1932,-4199.5
85,1978,-3664.0
87,2024,-4268.5
89,2070,-4629.5
91,2116,-3306.0
93,2162,-3468.5
95,2208,-3957.0
97,2254,-3544.5
99,2300,-3436.0
101,2346,-3960.0
103,2392,-4182.5
105,2438,-3799.0
107,2484,-4068.5
109,2530,-3377.0
111,2576,-3359.0
113,2622,-3759.5
115,2668,-3686.5
117,2714,-3550.5
119,2760,-3682.5
121,2806,-4383.5
123,2852,-3743.0
125,2898,-4075.5
127,2944,-3660.0
