episode,timestep,reward
1,46,49.0
3,92,65.5
5,138,56.0
7,184,63.5
9,230,79.0
11,276,60.5
13,322,58.5
15,368,60.0
17,414,56.0
19,460,60.5
21,506,65.5
23,552,58.5
25,598,60.0
27,644,63.0
29,690,70.0
31,736,66.0
33,782,76.5
35,828,57.5
37,874,75.5
39,920,72.0
41,966,70.0
43,1012,68.0
45,1058,61.0
47,1104,57.5
49,1150,57.0
51,1196,63.5
53,1242,62.0
55,1288,65.0
57,1334,59.0
59,1380,69.0
61,1426,74.5
63,1472,69.5
65,1518,64.0
67,1564,55.5
69,1610,63.5
71,1656,68.5
73,1702,59.0
75,1748,59.0
77,1794,58.5
79,1840,67.5
81,1886,62.5
83,1932,69.0
85,1978,66.0
87,2024,70.0
89,2070,61.0
91,2116,76.0
93,2162,63.0
95,2208,58.0
97,2254,69.5
99,2300,85.0
101,2346,62.0
103,2392,65.5
105,2438,61.0
107,2484,69.5
109,2530,67.5
111,2576,82.0
113,2622,58.0
115,2668,81.5
117,2714,61.5
119,2760,73.5
121,2806,61.0
123,2852,72.0
125,2898,76.5
127,2944,72.0
129,2990,63.5
131,3036,75.5
133,3082,59.5
135,3128,74.5
137,3174,67.0
139,3220,70.0
141,3266,56.5
143,3312,66.0
145,3358,67.5
147,3404,54.5
149,3450,59.5
151,3496,63.0
153,3542,64.5
155,3588,90.5
157,3634,71.0
159,3680,64.0
161,3726,63.5
163,3772,65.5
165,3818,60.0
167,3864,65.5
169,3910,83.5
171,3956,72.0
173,4002,91.5
175,4048,68.5
177,4094,66.5
179,4140,68.5
181,4186,66.5
183,4232,63.5
