episode,timestep,reward
1,46,41.0
3,92,44.0
5,138,36.5
7,184,51.5
9,230,42.5
11,276,41.0
13,322,41.0
15,368,34.0
17,414,42.5
19,460,41.5
21,506,54.5
23,552,39.5
25,598,39.0
27,644,42.5
29,690,43.5
31,736,43.0
33,782,37.0
35,828,38.0
37,874,43.0
39,920,41.0
41,966,37.5
43,1012,34.0
45,1058,43.0
47,1104,41.5
49,1150,36.5
51,1196,32.0
53,1242,49.5
55,1288,45.0
57,1334,41.0
59,1380,39.0
61,1426,47.0
63,1472,37.0
65,1518,40.0
67,1564,38.5
69,1610,42.0
71,1656,37.0
73,1702,45.0
75,1748,39.5
77,1794,41.5
79,1840,60.5
81,1886,55.0
83,1932,42.0
85,1978,35.0
87,2024,48.0
89,2070,50.5
91,2116,40.5
93,2162,38.5
95,2208,53.0
97,2254,43.0
99,2300,41.0
101,2346,40.5
103,2392,35.0
105,2438,42.0
107,2484,52.5
109,2530,44.5
111,2576,41.5
113,2622,43.0
115,2668,39.5
117,2714,64.5
119,2760,45.0
121,2806,45.0
123,2852,41.0
125,2898,40.5
