episode,timestep,reward
1,46,44.0
3,92,90.0
5,138,6.0
7,184,7.5
9,230,49.5
11,276,67.5
13,322,20.5
15,368,40.0
17,414,45.0
19,460,36.0
21,506,26.5
23,552,34.0
25,598,43.5
27,644,20.0
29,690,24.5
31,736,61.5
33,782,44.5
35,828,31.5
37,874,56.5
39,920,46.0
41,966,46.0
43,1012,45.5
45,1058,27.0
47,1104,51.0
49,1150,-7.0
51,1196,58.5
53,1242,49.0
55,1288,39.5
57,1334,18.5
59,1380,71.0
61,1426,78.5
63,1472,44.5
65,1518,59.0
67,1564,23.0
69,1610,49.0
71,1656,34.0
73,1702,38.5
75,1748,22.0
77,1794,71.5
79,1840,44.5
81,1886,28.0
83,1932,53.0
85,1978,70.0
87,2024,48.0
89,2070,26.5
91,2116,68.0
93,2162,72.0
95,2208,52.5
97,2254,7.0
99,2300,36.5
101,2346,27.5
103,2392,34.0
105,2438,45.0
107,2484,48.5
109,2530,31.5
111,2576,62.5
113,2622,86.5
115,2668,37.0
117,2714,59.0
119,2760,12.5
121,2806,20.0
123,2852,41.5
125,2898,19.0
127,2944,63.0
129,2990,30.0
131,3036,41.0
133,3082,35.5
135,3128,36.0
137,3174,29.5
139,3220,73.0
141,3266,5.0
143,3312,35.0
145,3358,42.5
147,3404,13.0
149,3450,46.0
151,3496,57.5
153,3542,36.0
155,3588,86.0
157,3634,68.5
159,3680,-5.5
161,3726,14.0
163,3772,34.5
165,3818,77.0
167,3864,76.5
169,3910,40.0
171,3956,40.5
173,4002,48.5
175,4048,25.5
177,4094,51.5
179,4140,21.5
181,4186,57.5
183,4232,11.0
185,4278,61.5
187,4324,9.0
189,4370,54.0
191,4416,60.5
193,4462,62.5
195,4508,47.0
197,4554,20.0
199,4600,50.5
201,4646,38.5
203,4692,16.5
205,4738,39.0
207,4784,61.0
209,4830,46.5
211,4876,42.0
213,4922,71.0
215,4968,21.5
217,5014,50.5
219,5060,94.0
221,5106,47.0
223,5152,46.5
225,5198,13.5
227,5244,36.5
229,5290,53.5
231,5336,88.5
233,5382,69.5
235,5428,66.5
237,5474,56.5
239,5520,1.5
241,5566,42.0
243,5612,56.5
245,5658,29.0
247,5704,53.0
249,5750,29.0
251,5796,47.5
253,5842,49.5
255,5888,18.0
257,5934,45.5
259,5980,56.5
261,6026,43.5
263,6072,54.5
265,6118,64.0
267,6164,33.5
269,6210,57.5
271,6256,51.0
273,6302,51.0
275,6348,12.0
277,6394,55.0
279,6440,72.0
281,6486,43.0
283,6532,33.5
285,6578,43.0
287,6624,82.0
289,6670,35.5
291,6716,84.5
293,6762,41.0
295,6808,55.0
297,6854,-7.5
299,6900,29.0
301,6946,45.0
303,6992,86.5
305,7038,45.0
307,7084,24.5
309,7130,90.5
311,7176,71.0
313,7222,62.5
315,7268,62.5
317,7314,86.5
319,7360,48.0
321,7406,18.5
323,7452,55.5
325,7498,32.0
327,7544,72.5
329,7590,55.5
331,7636,23.0
333,7682,26.0
335,7728,31.5
337,7774,28.0
339,7820,35.5
341,7866,68.5
343,7912,44.0
345,7958,38.0
347,8004,43.0
349,8050,59.5
351,8096,41.5
353,8142,78.0
355,8188,49.5
357,8234,24.5
359,8280,48.0
361,8326,95.5
363,8372,43.0
365,8418,79.5
367,8464,47.0
369,8510,53.0
371,8556,68.0
373,8602,52.5
375,8648,71.5
