episode,timestep,reward
1,184,-13.8342
3,368,-16.4426
5,552,29.7303
7,736,-14.1483
9,920,7.0285
11,1104,-12.8626
13,1288,54.9014
15,1472,-14.9052
17,1656,74.784
19,1840,101.1869
21,2024,78.0842
23,2208,79.748
25,2392,56.0132
27,2576,123.3449
29,2760,54.5765
31,2944,120.7287
33,3128,192.1343
35,3312,53.052
37,3496,189.1555
39,3680,216.2492
41,3864,192.051
43,4048,125.2463
45,4232,77.6774
47,4416,193.2277
49,4600,216.3146
51,4784,146.057
53,4968,191.736
55,5152,285.8625
57,5336,146.9224
59,5520,168.0961
61,5704,286.2178
63,5888,147.4268
65,6072,237.0437
67,6256,310.0546
69,6440,238.7067
71,6624,122.6839
