episode,timestep,reward
1,46,45.0
3,92,50.5
5,138,44.5
7,184,34.5
9,230,45.5
11,276,40.5
13,322,49.5
15,368,36.0
17,414,45.0
19,460,69.5
21,506,41.5
23,552,47.0
25,598,39.5
27,644,35.5
29,690,42.5
31,736,39.5
33,782,47.0
35,828,52.5
37,874,56.0
39,920,60.0
41,966,39.0
43,1012,41.5
45,1058,43.0
47,1104,37.0
49,1150,37.5
51,1196,37.5
53,1242,44.5
55,1288,56.0
57,1334,55.0
59,1380,51.0
61,1426,34.0
63,1472,43.5
65,1518,48.0
67,1564,42.0
69,1610,39.5
71,1656,61.5
73,1702,41.0
75,1748,38.0
77,1794,57.5
79,1840,42.5
81,1886,34.0
83,1932,40.0
85,1978,47.0
87,2024,35.5
89,2070,37.0
91,2116,36.0
93,2162,39.0
95,2208,47.5
97,2254,32.5
99,2300,34.5
101,2346,51.5
103,2392,39.5
105,2438,42.0
107,2484,50.5
109,2530,50.0
111,2576,36.5
113,2622,61.5
115,2668,60.5
117,2714,42.0
119,2760,42.5
121,2806,43.5
123,2852,41.5
125,2898,59.0
127,2944,42.0
129,2990,61.0
131,3036,44.5
133,3082,74.5
135,3128,75.0
137,3174,69.5
139,3220,72.0
141,3266,66.5
143,3312,74.0
145,3358,44.5
147,3404,57.0
149,3450,46.0
151,3496,46.0
153,3542,66.5
155,3588,59.5
157,3634,36.5
159,3680,38.0
161,3726,39.0
163,3772,38.5
165,3818,35.5
167,3864,49.5
169,3910,51.0
171,3956,44.5
173,4002,40.5
175,4048,41.5
177,4094,45.0
179,4140,36.0
181,4186,62.5
183,4232,66.5
185,4278,44.0
187,4324,42.5
189,4370,53.0
191,4416,65.0
193,4462,62.5
195,4508,81.0
