episode,timestep,reward
1,46,42.0
3,92,56.0
5,138,43.0
7,184,40.5
9,230,45.0
11,276,48.0
13,322,57.5
15,368,42.0
17,414,41.0
19,460,44.0
21,506,46.5
23,552,36.0
25,598,41.0
27,644,53.0
29,690,44.0
31,736,43.5
33,782,58.0
35,828,42.5
37,874,38.5
39,920,50.5
41,966,47.5
43,1012,44.5
45,1058,55.5
47,1104,42.5
49,1150,44.5
51,1196,42.5
53,1242,46.0
55,1288,41.5
57,1334,45.0
59,1380,40.5
61,1426,46.5
63,1472,39.0
65,1518,44.5
67,1564,39.0
69,1610,43.0
71,1656,65.0
73,1702,39.5
75,1748,50.0
77,1794,39.0
79,1840,57.0
81,1886,58.5
83,1932,54.5
85,1978,55.0
87,2024,70.0
89,2070,44.5
91,2116,43.5
93,2162,56.0
95,2208,39.5
97,2254,59.5
99,2300,36.5
101,2346,66.0
103,2392,39.5
105,2438,59.5
107,2484,55.5
109,2530,65.0
111,2576,68.5
113,2622,64.0
115,2668,57.0
117,2714,48.0
119,2760,67.0
121,2806,58.5
123,2852,70.5
125,2898,40.0
127,2944,36.0
129,2990,72.0
131,3036,86.5
133,3082,58.0
135,3128,47.0
137,3174,70.5
139,3220,45.5
141,3266,65.5
143,3312,61.5
145,3358,40.5
147,3404,51.5
149,3450,74.5
151,3496,69.0
153,3542,64.5
155,3588,66.0
157,3634,73.5
159,3680,41.5
161,3726,68.5
163,3772,57.5
165,3818,58.0
167,3864,74.5
169,3910,48.0
171,3956,56.5
173,4002,71.0
175,4048,89.5
177,4094,54.0
179,4140,69.0
181,4186,78.5
183,4232,75.0
185,4278,69.5
187,4324,54.5
189,4370,78.5
191,4416,59.0
193,4462,72.5
195,4508,91.0
197,4554,75.0
199,4600,57.5
201,4646,72.5
203,4692,73.5
205,4738,83.0
207,4784,72.0
209,4830,68.5
211,4876,79.5
213,4922,81.5
215,4968,82.5
217,5014,88.5
219,5060,62.0
221,5106,80.0
223,5152,76.0
225,5198,76.5
227,5244,77.5
229,5290,79.5
231,5336,65.5
233,5382,67.5
235,5428,63.0
237,5474,65.5
239,5520,74.5
241,5566,76.5
243,5612,50.0
245,5658,90.5
247,5704,77.0
249,5750,74.0
251,5796,61.5
253,5842,89.0
255,5888,95.5
257,5934,95.5
259,5980,62.5
261,6026,75.0
263,6072,60.5
