episode,timestep,reward
1,46,62.0
3,92,55.5
5,138,58.0
7,184,60.0
9,230,76.5
11,276,64.0
13,322,59.5
15,368,74.0
17,414,79.0
19,460,79.0
21,506,60.0
23,552,67.0
25,598,63.5
27,644,56.0
29,690,65.0
31,736,61.5
33,782,57.5
35,828,61.0
37,874,57.0
39,920,65.0
41,966,60.5
43,1012,60.0
45,1058,66.0
47,1104,72.0
49,1150,55.0
51,1196,58.0
53,1242,65.0
55,1288,65.5
57,1334,61.5
59,1380,66.0
61,1426,65.0
63,1472,77.0
65,1518,64.0
67,1564,62.5
69,1610,66.5
71,1656,72.0
73,1702,56.5
75,1748,75.0
77,1794,69.0
79,1840,80.5
81,1886,71.5
83,1932,66.0
85,1978,64.5
87,2024,59.5
89,2070,59.0
91,2116,71.0
93,2162,76.0
95,2208,57.5
97,2254,68.0
99,2300,62.5
101,2346,59.0
103,2392,80.0
105,2438,68.0
107,2484,57.0
109,2530,65.5
111,2576,71.5
113,2622,78.5
115,2668,69.5
117,2714,59.0
119,2760,79.0
121,2806,65.5
123,2852,54.5
125,2898,77.0
127,2944,78.0
129,2990,63.0
131,3036,72.0
133,3082,78.5
135,3128,60.0
137,3174,90.0
139,3220,69.0
141,3266,63.0
143,3312,67.5
145,3358,62.0
147,3404,66.0
149,3450,78.0
151,3496,90.0
153,3542,68.0
155,3588,66.5
157,3634,64.0
159,3680,71.5
161,3726,80.5
163,3772,81.5
165,3818,91.0
167,3864,71.0
169,3910,76.0
171,3956,59.5
173,4002,84.0
175,4048,82.0
177,4094,92.0
179,4140,80.5
181,4186,89.0
183,4232,97.0
185,4278,74.5
187,4324,87.5
189,4370,67.5
191,4416,70.0
193,4462,64.5
195,4508,67.0
197,4554,73.5
199,4600,77.5
201,4646,81.0
203,4692,79.0
205,4738,97.0
207,4784,66.5
209,4830,77.0
211,4876,90.0
213,4922,75.0
215,4968,83.5
217,5014,63.5
219,5060,78.5
221,5106,68.0
223,5152,87.0
225,5198,80.5
227,5244,62.5
229,5290,68.0
231,5336,84.0
233,5382,96.0
235,5428,73.5
237,5474,82.5
239,5520,75.5
241,5566,85.5
243,5612,75.5
245,5658,80.0
247,5704,62.5
249,5750,81.0
251,5796,106.0
253,5842,73.0
255,5888,99.0
257,5934,60.5
259,5980,87.5
261,6026,87.0
263,6072,78.0
265,6118,86.5
267,6164,82.5
269,6210,95.5
271,6256,85.5
273,6302,65.5
275,6348,75.5
277,6394,82.0
279,6440,81.5
281,6486,90.0
283,6532,69.5
285,6578,94.0
287,6624,93.0
289,6670,83.5
291,6716,83.5
293,6762,83.0
295,6808,76.0
297,6854,64.0
299,6900,71.5
301,6946,73.5
303,6992,91.0
305,7038,90.5
307,7084,80.5
309,7130,75.0
311,7176,83.0
313,7222,77.5
315,7268,67.5
317,7314,85.5
319,7360,93.5
321,7406,68.0
323,7452,91.0
325,7498,69.5
327,7544,84.5
329,7590,82.0
331,7636,78.0
333,7682,69.0
335,7728,68.0
337,7774,78.5
339,7820,84.5
341,7866,66.0
343,7912,60.5
345,7958,77.5
347,8004,82.5
349,8050,69.0
351,8096,81.0
353,8142,94.5
355,8188,71.0
357,8234,86.5
359,8280,73.0
361,8326,87.0
363,8372,76.5
365,8418,105.0
367,8464,94.0
369,8510,98.5
371,8556,66.0
373,8602,84.0
375,8648,58.5
377,8694,83.5
379,8740,66.5
381,8786,109.5
383,8832,76.5
385,8878,80.5
387,8924,89.5
389,8970,63.5
391,9016,107.5
393,9062,84.5
395,9108,76.0
397,9154,90.0
399,9200,75.5
401,9246,93.5
403,9292,69.5
405,9338,69.0
407,9384,63.0
409,9430,93.0
411,9476,79.5
413,9522,62.0
415,9568,113.0
417,9614,97.0
419,9660,90.0
421,9706,95.5
423,9752,100.5
425,9798,106.0
427,9844,85.5
429,9890,94.5
431,9936,73.0
433,9982,79.0
435,10028,81.5
437,10074,80.0
439,10120,91.0
441,10166,94.5
443,10212,79.5
445,10258,89.5
447,10304,117.5
449,10350,73.5
451,10396,81.5
453,10442,101.0
455,10488,72.5
457,10534,90.0
459,10580,84.0
461,10626,85.0
463,10672,89.5
465,10718,78.0
467,10764,92.5
469,10810,94.5
471,10856,99.5
473,10902,97.0
475,10948,97.5
477,10994,90.5
479,11040,77.0
481,11086,77.5
483,11132,104.0
485,11178,97.5
487,11224,90.5
489,11270,74.0
491,11316,109.0
493,11362,75.5
495,11408,65.5
497,11454,75.0
499,11500,91.0
501,11546,98.0
503,11592,92.5
505,11638,84.5
507,11684,111.0
509,11730,110.5
511,11776,74.5
513,11822,69.0
515,11868,102.0
517,11914,109.5
519,11960,89.5
521,12006,78.5
523,12052,98.0
525,12098,89.5
527,12144,92.0
529,12190,109.0
531,12236,97.5
533,12282,86.0
535,12328,88.0
537,12374,112.5
539,12420,89.0
541,12466,72.5
543,12512,81.5
545,12558,78.5
547,12604,83.5
549,12650,99.0
551,12696,77.5
553,12742,86.5
555,12788,101.5
557,12834,73.5
559,12880,91.0
561,12926,107.5
563,12972,80.5
565,13018,96.0
567,13064,91.5
569,13110,58.5
571,13156,86.5
573,13202,104.5
575,13248,82.5
577,13294,115.5
579,13340,99.0
581,13386,90.5
583,13432,95.5
585,13478,90.0
587,13524,108.5
589,13570,102.0
591,13616,72.5
593,13662,101.0
595,13708,72.5
597,13754,95.0
599,13800,108.0
601,13846,112.5
603,13892,91.5
605,13938,103.5
607,13984,110.0
609,14030,79.5
611,14076,71.0
613,14122,114.0
615,14168,103.0
617,14214,85.0
619,14260,127.5
621,14306,94.5
623,14352,104.5
625,14398,120.5
627,14444,122.0
629,14490,92.5
631,14536,104.0
633,14582,100.5
635,14628,98.5
637,14674,101.0
639,14720,95.0
641,14766,105.0
643,14812,101.0
645,14858,107.5
647,14904,121.5
649,14950,99.5
651,14996,84.0
653,15042,126.5
655,15088,100.0
657,15134,128.5
659,15180,88.0
661,15226,109.0
663,15272,87.0
665,15318,85.0
667,15364,90.0
669,15410,134.5
671,15456,121.5
673,15502,106.5
675,15548,106.0
677,15594,109.0
679,15640,111.5
681,15686,85.5
683,15732,130.5
685,15778,87.0
687,15824,109.0
689,15870,102.5
691,15916,100.0
693,15962,101.5
695,16008,110.0
697,16054,108.0
699,16100,84.0
701,16146,94.5
703,16192,121.0
705,16238,105.5
707,16284,110.0
709,16330,79.5
711,16376,107.5
713,16422,104.5
715,16468,97.0
717,16514,88.0
719,16560,103.0
721,16606,132.0
723,16652,97.0
725,16698,88.5
727,16744,104.5
729,16790,95.5
731,16836,124.0
733,16882,97.5
735,16928,109.5
