episode,timestep,reward
1,46,49.0
3,92,23.0
5,138,38.0
7,184,38.5
9,230,14.0
11,276,5.0
13,322,2.5
15,368,4.0
17,414,33.0
19,460,17.0
21,506,28.0
23,552,9.0
25,598,22.5
27,644,8.0
29,690,37.5
31,736,19.0
33,782,20.5
35,828,26.5
37,874,-1.0
39,920,37.0
41,966,18.0
43,1012,36.0
45,1058,50.5
47,1104,6.5
49,1150,30.5
51,1196,6.0
53,1242,25.0
55,1288,26.0
57,1334,12.5
59,1380,36.0
61,1426,10.5
63,1472,42.5
65,1518,35.0
67,1564,10.0
69,1610,12.5
71,1656,10.5
73,1702,26.5
75,1748,38.0
77,1794,16.5
79,1840,34.5
81,1886,21.5
83,1932,32.5
85,1978,15.5
87,2024,26.0
89,2070,45.5
91,2116,22.5
93,2162,39.0
95,2208,-0.5
97,2254,28.0
