episode,timestep,reward
1,46,-5.2733
3,92,-5.8173
5,138,-4.5627
7,184,18.1377
9,230,-4.8039
11,276,-5.1609
13,322,-4.1741
15,368,-5.886
17,414,-7.6502
19,460,18.1185
21,506,-5.8744
23,552,-5.7189
25,598,-5.5339
27,644,-5.376
29,690,-5.1491
31,736,-4.3683
33,782,-4.2366
35,828,-6.7187
37,874,40.4731
39,920,17.6277
41,966,18.2884
43,1012,17.4358
45,1058,-4.6131
47,1104,-6.8936
49,1150,-6.4799
51,1196,17.653
53,1242,-5.777
55,1288,16.7868
57,1334,16.398
59,1380,-4.5551
61,1426,18.3934
63,1472,64.0324
65,1518,39.0667
67,1564,-6.1509
69,1610,16.3901
71,1656,17.3626
73,1702,-7.1236
75,1748,18.194
77,1794,-5.1253
79,1840,-6.8816
81,1886,63.4143
83,1932,-4.2246
85,1978,-5.8707
87,2024,-5.7463
89,2070,-4.8775
91,2116,-5.6479
93,2162,15.4758
95,2208,-6.0812
97,2254,18.5598
99,2300,-5.7649
101,2346,-5.1953
103,2392,-4.8352
105,2438,17.2097
107,2484,19.205
109,2530,17.7871
111,2576,64.6791
113,2622,40.7197
115,2668,40.694
117,2714,40.7976
119,2760,-4.3874
121,2806,17.2534
123,2852,-4.9216
125,2898,40.0277
127,2944,18.3505
129,2990,16.7315
131,3036,17.4173
133,3082,17.5902
135,3128,63.7982
137,3174,-4.4793
139,3220,41.7686
141,3266,-6.8407
143,3312,17.0507
145,3358,16.77
147,3404,64.6553
149,3450,42.5488
151,3496,38.8662
153,3542,62.9845
155,3588,63.6187
157,3634,17.2664
159,3680,41.9077
161,3726,18.2887
163,3772,18.1848
165,3818,17.7505
167,3864,-5.3044
169,3910,18.3283
171,3956,16.0936
173,4002,17.9357
175,4048,41.363
177,4094,64.0153
179,4140,41.6295
181,4186,17.5523
183,4232,40.4808
185,4278,-6.2815
187,4324,42.2744
189,4370,64.951
191,4416,39.852
193,4462,64.6892
195,4508,17.692
197,4554,87.1978
199,4600,16.915
201,4646,86.4906
203,4692,132.7666
205,4738,17.76
207,4784,19.0292
209,4830,87.6069
211,4876,41.5296
213,4922,-4.2621
215,4968,87.5585
217,5014,41.5412
219,5060,62.9791
221,5106,86.9117
223,5152,39.9024
225,5198,63.6236
227,5244,64.2605
229,5290,-6.4128
231,5336,41.5546
233,5382,63.6227
235,5428,87.0682
237,5474,17.1824
239,5520,109.4546
241,5566,110.8315
243,5612,64.1953
245,5658,17.9135
247,5704,16.5089
249,5750,17.7525
251,5796,17.2781
253,5842,88.9695
255,5888,62.8601
257,5934,156.8564
259,5980,135.0703
261,6026,63.9172
263,6072,42.5281
265,6118,87.5727
267,6164,109.7714
269,6210,41.1239
271,6256,63.9468
273,6302,63.7382
275,6348,40.0346
277,6394,16.97
279,6440,17.8662
281,6486,87.1995
283,6532,156.4251
285,6578,86.926
287,6624,39.3562
289,6670,17.7795
291,6716,18.234
293,6762,132.6932
295,6808,156.782
297,6854,39.7084
299,6900,133.7529
301,6946,18.5022
303,6992,65.3638
305,7038,40.9637
307,7084,87.2118
309,7130,38.4177
311,7176,64.7
313,7222,157.7998
315,7268,87.8629
317,7314,18.5407
319,7360,110.7946
321,7406,39.7671
323,7452,-5.9555
325,7498,41.2499
327,7544,63.9448
329,7590,18.6021
331,7636,86.9081
333,7682,156.9741
335,7728,87.3677
337,7774,109.1943
339,7820,86.992
341,7866,86.0421
343,7912,110.4786
345,7958,17.5631
347,8004,63.9798
349,8050,87.7084
351,8096,111.21
353,8142,41.8467
355,8188,-5.8388
357,8234,42.3356
359,8280,63.5768
361,8326,87.1853
363,8372,87.9332
365,8418,41.2147
367,8464,64.0201
369,8510,133.2986
371,8556,110.7219
373,8602,110.5801
375,8648,111.8273
377,8694,18.0747
379,8740,41.0423
381,8786,87.5366
383,8832,86.8649
385,8878,63.3851
387,8924,111.161
389,8970,17.1713
391,9016,111.6103
393,9062,87.2553
395,9108,63.2268
397,9154,88.7759
399,9200,133.3898
401,9246,39.2112
403,9292,88.7272
405,9338,179.8257
407,9384,17.502
409,9430,132.8769
411,9476,87.6713
413,9522,86.4795
415,9568,110.6046
417,9614,180.212
419,9660,62.5465
421,9706,133.1271
423,9752,133.8708
425,9798,154.8668
427,9844,17.6162
429,9890,110.8368
431,9936,181.327
433,9982,64.6428
435,10028,64.6786
437,10074,111.3763
439,10120,180.5389
441,10166,86.7076
443,10212,156.7541
445,10258,85.9206
447,10304,134.2495
449,10350,64.2556
451,10396,179.395
453,10442,134.6586
455,10488,87.159
457,10534,156.6747
459,10580,203.0419
461,10626,202.119
463,10672,178.2006
465,10718,108.948
467,10764,156.9364
469,10810,134.9363
471,10856,272.2157
473,10902,110.8889
475,10948,272.3918
477,10994,135.0277
479,11040,202.7709
481,11086,156.2875
483,11132,156.9606
485,11178,134.4351
487,11224,180.59
489,11270,180.7537
491,11316,133.6161
493,11362,202.5176
495,11408,111.0055
497,11454,156.2173
499,11500,179.8389
501,11546,133.8889
503,11592,133.2853
505,11638,178.5077
507,11684,225.4023
509,11730,132.7716
511,11776,250.6493
513,11822,179.0157
515,11868,134.8653
517,11914,86.9342
519,11960,248.7089
521,12006,87.2862
523,12052,158.0932
525,12098,203.9204
527,12144,204.0999
529,12190,271.0244
531,12236,87.1039
533,12282,180.5853
535,12328,133.9866
537,12374,295.6079
539,12420,178.5445
541,12466,86.8693
543,12512,132.8712
545,12558,181.8172
547,12604,271.5801
549,12650,203.6123
551,12696,202.0944
553,12742,132.5045
555,12788,203.8852
557,12834,157.9158
559,12880,156.1861
561,12926,180.3541
563,12972,295.4413
565,13018,294.9374
567,13064,178.0616
569,13110,202.9254
571,13156,179.0161
573,13202,295.5396
575,13248,226.7585
577,13294,271.148
579,13340,248.617
581,13386,179.029
583,13432,294.5877
585,13478,250.4744
587,13524,248.213
589,13570,272.0015
591,13616,180.1976
593,13662,248.621
595,13708,225.3213
597,13754,226.8323
599,13800,249.9591
601,13846,250.6414
603,13892,202.4918
605,13938,318.7304
607,13984,202.4404
609,14030,249.1336
611,14076,296.7101
613,14122,179.6349
615,14168,133.9827
617,14214,319.2411
619,14260,182.1615
621,14306,110.9442
623,14352,273.4418
625,14398,225.664
627,14444,223.8768
629,14490,203.0891
631,14536,201.9046
633,14582,201.7395
635,14628,296.4176
637,14674,226.6365
639,14720,133.6893
641,14766,227.4162
643,14812,182.1124
645,14858,133.4252
647,14904,296.4181
649,14950,320.5491
651,14996,179.3845
653,15042,248.6996
655,15088,180.2657
657,15134,250.0973
659,15180,225.6748
661,15226,132.0394
663,15272,155.708
665,15318,178.1277
667,15364,318.9562
669,15410,272.6101
671,15456,155.9823
673,15502,227.1399
675,15548,203.7853
677,15594,249.8859
679,15640,204.1444
681,15686,364.7645
683,15732,249.3138
685,15778,226.7745
687,15824,157.0837
689,15870,272.5136
691,15916,365.5804
693,15962,251.1728
695,16008,296.1971
697,16054,180.3762
699,16100,272.5426
701,16146,295.3963
703,16192,340.642
705,16238,271.8976
707,16284,203.4
709,16330,134.1902
711,16376,271.9343
713,16422,271.5337
715,16468,226.8129
717,16514,272.9663
719,16560,132.1465
721,16606,342.8292
723,16652,271.7179
725,16698,247.3854
727,16744,294.8629
729,16790,134.0098
731,16836,157.0379
733,16882,249.483
735,16928,272.3596
737,16974,318.4198
739,17020,270.9629
741,17066,203.4344
743,17112,203.2299
745,17158,271.4299
747,17204,224.5067
749,17250,295.1611
751,17296,157.0731
753,17342,435.2286
755,17388,179.8581
757,17434,271.9473
759,17480,178.7563
761,17526,363.1367
763,17572,201.8556
765,17618,342.7259
767,17664,248.0957
769,17710,247.8196
771,17756,155.7509
773,17802,271.9002
775,17848,294.6948
777,17894,202.3017
779,17940,248.9721
781,17986,226.4228
783,18032,365.4209
785,18078,273.2721
787,18124,272.1156
