episode,timestep,reward
1,46,100.0
3,92,65.0
5,138,67.0
7,184,32.0
9,230,38.5
11,276,87.0
13,322,60.5
15,368,63.0
17,414,92.5
19,460,42.0
21,506,49.0
23,552,54.5
25,598,63.5
27,644,37.0
29,690,77.0
31,736,52.0
33,782,55.0
35,828,76.5
37,874,54.5
39,920,78.0
41,966,99.0
43,1012,83.5
45,1058,85.0
47,1104,59.5
49,1150,71.0
51,1196,71.5
53,1242,74.0
55,1288,61.5
57,1334,78.5
59,1380,45.5
61,1426,33.5
63,1472,39.0
65,1518,79.5
67,1564,63.0
69,1610,86.0
71,1656,61.5
73,1702,65.5
75,1748,52.0
77,1794,60.5
