episode,timestep,reward
1,46,62.0
3,92,60.5
5,138,57.5
7,184,65.0
9,230,64.0
11,276,63.0
13,322,64.5
15,368,74.5
17,414,68.5
19,460,59.5
21,506,78.0
23,552,79.0
25,598,63.5
27,644,63.0
29,690,66.0
31,736,74.5
33,782,77.0
35,828,55.0
37,874,63.0
39,920,65.5
41,966,79.5
43,1012,67.5
45,1058,79.5
47,1104,77.5
49,1150,59.5
51,1196,55.5
53,1242,71.5
55,1288,83.5
57,1334,55.0
59,1380,84.5
61,1426,58.0
63,1472,64.5
65,1518,59.0
67,1564,59.0
69,1610,65.0
71,1656,81.5
73,1702,55.5
75,1748,61.0
77,1794,75.0
79,1840,78.5
81,1886,57.5
83,1932,67.5
85,1978,55.5
87,2024,70.0
89,2070,62.0
91,2116,60.5
93,2162,99.0
95,2208,73.0
97,2254,61.0
99,2300,90.5
101,2346,67.0
103,2392,59.0
105,2438,68.5
107,2484,74.0
109,2530,80.5
111,2576,76.5
113,2622,60.0
115,2668,65.5
117,2714,56.5
119,2760,71.0
121,2806,92.5
123,2852,65.5
125,2898,59.0
127,2944,56.5
129,2990,68.5
131,3036,76.0
133,3082,59.0
135,3128,66.0
137,3174,61.0
139,3220,62.5
141,3266,81.0
143,3312,75.0
145,3358,69.0
147,3404,78.0
149,3450,82.0
151,3496,79.0
153,3542,82.0
155,3588,70.0
157,3634,61.5
159,3680,81.0
161,3726,79.0
163,3772,78.0
165,3818,68.0
167,3864,65.5
169,3910,91.0
171,3956,102.0
173,4002,60.5
175,4048,72.0
177,4094,73.0
179,4140,81.0
181,4186,70.0
183,4232,93.0
185,4278,64.0
187,4324,79.0
189,4370,82.0
191,4416,91.0
193,4462,76.5
195,4508,64.5
197,4554,71.0
199,4600,88.0
201,4646,94.0
203,4692,113.5
205,4738,93.0
207,4784,90.5
209,4830,68.0
211,4876,79.0
213,4922,66.0
215,4968,78.5
217,5014,111.5
219,5060,73.5
221,5106,111.0
223,5152,83.5
225,5198,97.5
227,5244,81.5
229,5290,66.5
231,5336,82.0
233,5382,64.5
235,5428,74.5
237,5474,78.0
239,5520,73.5
241,5566,100.0
243,5612,69.5
245,5658,84.0
247,5704,77.0
249,5750,77.0
251,5796,79.5
253,5842,65.0
255,5888,80.0
257,5934,87.0
259,5980,81.0
261,6026,125.5
263,6072,91.0
265,6118,75.0
267,6164,62.0
269,6210,85.0
271,6256,98.5
273,6302,101.5
275,6348,76.0
277,6394,67.0
279,6440,102.0
281,6486,101.5
283,6532,81.0
285,6578,97.0
287,6624,77.0
289,6670,83.5
291,6716,93.0
293,6762,116.5
295,6808,88.0
297,6854,86.5
299,6900,84.5
301,6946,117.5
303,6992,76.0
305,7038,98.5
307,7084,85.5
309,7130,108.5
311,7176,101.5
313,7222,94.0
315,7268,91.0
317,7314,111.0
319,7360,90.0
321,7406,82.0
323,7452,94.5
325,7498,89.0
327,7544,66.0
329,7590,91.0
331,7636,92.5
333,7682,104.5
335,7728,101.5
337,7774,104.0
339,7820,66.5
341,7866,95.0
343,7912,94.5
345,7958,102.5
347,8004,86.0
349,8050,84.0
351,8096,101.0
353,8142,104.5
355,8188,87.5
357,8234,115.5
359,8280,98.0
361,8326,101.0
363,8372,104.0
365,8418,117.0
367,8464,99.0
369,8510,81.0
371,8556,98.0
373,8602,106.0
375,8648,106.5
377,8694,103.0
379,8740,99.0
381,8786,83.0
383,8832,132.5
385,8878,89.0
387,8924,81.0
389,8970,99.5
391,9016,123.5
393,9062,112.5
395,9108,84.0
397,9154,90.5
399,9200,89.5
401,9246,102.5
403,9292,95.5
405,9338,73.5
407,9384,104.0
409,9430,111.0
411,9476,95.0
413,9522,113.5
415,9568,92.5
417,9614,79.5
419,9660,113.0
421,9706,105.5
423,9752,99.5
425,9798,104.5
427,9844,121.0
429,9890,86.5
431,9936,94.0
433,9982,110.0
435,10028,107.0
437,10074,106.0
439,10120,121.5
441,10166,84.0
443,10212,107.5
445,10258,122.0
447,10304,107.5
449,10350,110.0
451,10396,105.0
453,10442,114.0
455,10488,81.5
457,10534,110.5
459,10580,107.5
461,10626,95.0
463,10672,91.5
465,10718,113.5
467,10764,100.0
469,10810,100.5
471,10856,111.5
473,10902,97.0
475,10948,125.0
477,10994,98.0
479,11040,86.5
481,11086,105.5
483,11132,114.5
485,11178,89.0
487,11224,98.0
489,11270,96.0
491,11316,123.5
493,11362,119.0
495,11408,99.5
497,11454,105.5
499,11500,101.0
501,11546,85.5
