algorithm,Nodes,Edges,Layer,Budget,Seed set,Spread,Tỉme
KSN,600,1772,3,30,"[122, 356, 431, 119, 302, 156, 75, 551, 250, 466, 522, 378, 141, 345, 241, 37, 108, 186, 107, 343, 496, 449, 352, 195, 530, 473, 568, 415, 284, 2]",135.54,89.75262236595154
ISF,600,1772,3,30,"[122, 178, 88, 75, 468, 289, 133, 118, 24, 242, 90, 189, 266, 499, 556, 81, 112, 366, 107, 323, 182, 238, 325, 208, 260, 98, 5, 91, 284, 459]",142.58,113.14623522758484
RL_MIM,600,2372,3,30,"[114, 356, 359, 406, 297, 481, 376, 309, 122, 392, 41, 22, 72, 116, 150, 239, 261, 329, 45, 293, 44, 17, 63, 112, 1, 97, 268, 197, 56, 266]",0,108.10888743400574
